Description,Qte,Prix
V modulaire,6,6.60 \euro
T modulaire,2,2.80 \euro
Tube alu modulaire 23.5,2.5,15.50 \euro
Carte RAMPS,1,14.00 \euro
Commande moteur A4988,5,23.00 \euro
Funduino 2650 Mega,1,19.00 \euro
Roulements linéaires LM8UU,12,6.70 \euro
Courroie GT2 (2m) + 2 poulies ,1,7.00 \euro
Moteur pas à pas nema17,5,72.00 \euro
Rond inox 8mm,3,20.00 \euro
Injecteur SD05447200 / SD05447000,1,2.00 \euro
Alimentation PC 500W,1,5.00 \euro
Résistance 5.6(5W) / CTN 100k,1,1.00 \euro
,,
Total,,194.60 \euro
